,NO2(t-10),NO2(t-9),NO2(t-8),NO2(t-7),NO2(t-6),NO2(t-5),NO2(t-4),NO2(t-3),NO2(t-2),NO2(t-1),NO2(t)
85,9.189834e-06,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05
86,8.507944e-06,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06
87,9.405469e-06,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05
88,1.0640612e-05,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06
89,1.0793294e-05,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05
90,1.1440599e-05,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05
91,1.2087904e-05,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06
92,1.0718814e-05,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06
93,9.807195e-06,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06
94,1.0475404e-05,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06
95,1.0948798e-05,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06
96,7.127609e-06,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06
97,1.7137489e-05,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06
98,6.8275654e-06,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05
99,1.0016533e-05,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05
100,1.5385509e-05,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05
101,8.203498e-06,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05
102,6.5903437e-06,6.360903e-06,9.439269e-06,8.2139895e-06,9.065933e-06,6.690881e-06,1.571589e-05,1.2077798e-05,1.4316906e-05,1.0282495e-05,7.468752e-06
